ts,tempExt,accX,accY,accZ,gyroX,gyroY,gyroZ,motorTemp,noise
2026-08-26T11:45:52.100+02:00,25.5,1.47,-1.77,11.76,-0.1,-0.07,0.01,31.12,1198
2026-08-26T11:45:53.098+02:00,25.5,1.49,-1.44,11.21,-0.11,-0.07,0.0,31.07,4623
2026-08-26T11:45:54.098+02:00,25.5,1.96,-1.9,12.28,-0.1,-0.06,0.01,31.12,922
2026-08-26T11:45:55.097+02:00,25.5,1.76,-1.92,12.06,-0.13,-0.09,0.01,31.07,1164
2026-08-26T11:45:56.097+02:00,25.5,1.47,-1.28,11.36,-0.11,-0.07,0.01,31.17,1336
2026-08-26T11:45:57.098+02:00,25.5,1.66,-1.6,12.02,-0.12,-0.08,0.01,31.07,1488
2026-08-26T11:45:58.098+02:00,25.5,1.71,-1.2,11.1,-0.09,-0.07,-0.0,31.07,1247
2026-08-26T11:45:59.096+02:00,25.5,1.65,-1.8,12.07,-0.11,-0.07,0.02,31.12,999
2026-08-26T11:46:00.096+02:00,25.5,1.44,-1.32,11.4,-0.11,-0.07,0.01,31.07,1970
2026-08-26T11:46:01.095+02:00,25.5,1.75,-1.74,11.94,-0.11,-0.08,0.0,31.12,1228
2026-08-26T11:46:02.095+02:00,25.5,2.02,-1.62,12.07,-0.12,-0.08,0.01,31.17,1147
2026-08-26T11:46:03.099+02:00,25.5,1.45,-1.42,11.4,-0.1,-0.07,0.01,31.12,2060
2026-08-26T11:46:04.094+02:00,25.5,1.45,-1.65,11.62,-0.12,-0.08,0.01,31.12,2105
2026-08-26T11:46:05.094+02:00,25.5,1.66,-1.58,11.7,-0.09,-0.06,0.0,31.07,1116
2026-08-26T11:46:06.094+02:00,25.5,1.73,-1.4,11.74,-0.13,-0.09,0.01,31.12,1056
2026-08-26T11:46:07.093+02:00,25.5,1.45,-1.45,11.52,-0.1,-0.07,0.01,31.17,1068
2026-08-26T11:46:08.100+02:00,25.5,1.63,-1.47,11.41,-0.12,-0.08,0.0,31.12,1053
2026-08-26T11:46:09.093+02:00,25.5,1.79,-1.17,11.21,-0.09,-0.06,0.0,31.17,1386
2026-08-26T11:46:10.092+02:00,25.5,1.54,-1.92,11.94,-0.12,-0.08,0.02,31.17,1327
2026-08-26T11:46:12.092+02:00,25.5,1.62,-1.4,11.42,-0.1,-0.07,0.0,31.12,1796
2026-08-26T11:46:13.092+02:00,25.5,1.66,-1.45,11.24,-0.0,-0.0,-0.0,36.53,1303
2026-08-26T11:46:14.091+02:00,25.5,1.54,-1.63,11.71,-0.12,-0.07,0.02,31.26,1411
2026-08-26T11:46:15.099+02:00,25.5,1.59,-1.46,11.72,-0.1,-0.06,0.01,31.21,1318
2026-08-26T11:46:16.091+02:00,25.5,1.67,-1.72,11.94,-0.11,-0.07,0.01,31.21,1110
2026-08-26T11:46:17.090+02:00,25.5,1.8,-1.36,11.81,-0.12,-0.09,0.01,31.17,976
2026-08-26T11:46:18.088+02:00,25.5,1.35,-1.43,11.6,-0.1,-0.07,0.01,31.21,1541
2026-08-26T11:46:19.090+02:00,25.5,1.66,-1.59,11.57,-0.12,-0.08,0.0,31.17,1266
2026-08-26T11:46:20.089+02:00,25.5,1.56,-1.7,11.49,-0.09,-0.06,0.01,31.12,1414
2026-08-26T11:46:21.089+02:00,25.5,1.66,-1.7,12.02,-0.11,-0.07,0.02,31.17,1446
2026-08-26T11:46:22.090+02:00,25.5,1.43,-1.41,11.52,-0.11,-0.07,0.01,31.21,1131
2026-08-26T11:46:23.088+02:00,25.5,1.67,-1.49,11.54,-0.1,-0.07,0.0,31.21,1322
2026-08-26T11:46:24.088+02:00,25.5,1.99,-1.6,11.93,-0.13,-0.09,0.0,31.17,1235
2026-08-26T11:46:25.088+02:00,25.5,1.46,-1.41,11.45,-0.1,-0.07,0.01,31.21,1357
2026-08-26T11:46:26.087+02:00,25.5,1.56,-1.64,11.54,-0.12,-0.08,0.01,31.17,1501
2026-08-26T11:46:27.088+02:00,25.5,1.66,-1.47,11.23,-0.09,-0.06,0.0,31.21,1468
2026-08-26T11:46:28.092+02:00,25.5,1.76,-1.79,12.16,-0.11,-0.07,0.02,31.17,1314
2026-08-26T11:46:29.088+02:00,25.56,1.44,-1.28,11.28,-0.12,-0.08,0.01,31.21,1260
2026-08-26T11:46:30.086+02:00,25.56,1.53,-1.41,11.35,-0.1,-0.07,0.0,31.12,1358
2026-08-26T11:46:31.086+02:00,25.56,2.01,-1.95,12.26,-0.13,-0.09,0.0,31.17,1471
2026-08-26T11:46:32.086+02:00,25.56,1.55,-1.25,11.06,-0.1,-0.08,0.01,31.21,1386
2026-08-26T11:46:33.086+02:00,25.56,1.38,-1.75,11.68,-0.11,-0.07,0.01,31.26,1383
2026-08-26T11:46:34.085+02:00,25.56,1.51,-1.45,11.21,-0.1,-0.06,0.01,31.21,1010
2026-08-26T11:46:35.085+02:00,25.56,1.88,-1.88,12.27,-0.11,-0.08,0.01,31.26,1278
2026-08-26T11:46:36.084+02:00,25.56,1.41,-1.33,11.38,-0.12,-0.08,0.01,31.21,1234
2026-08-26T11:46:37.084+02:00,25.56,1.44,-1.32,11.5,-0.11,-0.07,0.01,31.21,1407
2026-08-26T11:46:38.084+02:00,25.56,1.82,-1.75,12.11,-0.12,-0.08,-0.0,31.17,1159
2026-08-26T11:46:39.083+02:00,25.56,1.76,-1.11,11.18,-0.1,-0.07,0.01,31.21,1345
2026-08-26T11:46:40.083+02:00,25.56,1.45,-1.82,11.77,-0.11,-0.07,0.02,31.26,1312
2026-08-26T11:46:42.080+02:00,25.56,1.54,-1.31,10.98,-0.09,-0.06,0.0,31.21,1916
2026-08-26T11:46:43.082+02:00,25.56,1.75,-1.13,11.36,-0.13,-0.09,0.01,31.21,1552
2026-08-26T11:46:44.082+02:00,25.56,1.52,-1.42,11.43,-0.1,-0.07,0.01,31.17,1632
2026-08-26T11:46:45.084+02:00,25.56,1.63,-1.48,11.8,-0.12,-0.08,0.0,31.12,1963
2026-08-26T11:46:46.546+02:00,25.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003
2026-08-26T11:46:47.081+02:00,25.56,1.45,-1.77,11.48,-0.09,-0.07,0.01,31.21,1294
2026-08-26T11:46:48.080+02:00,25.56,1.4,-1.66,11.55,-0.11,-0.07,0.01,31.17,1216
2026-08-26T11:46:49.080+02:00,25.56,1.68,-1.53,11.78,-0.11,-0.07,0.0,31.17,1186
2026-08-26T11:46:50.080+02:00,25.62,1.76,-1.14,11.05,-0.09,-0.06,0.0,31.26,1116
2026-08-26T11:46:51.080+02:00,25.62,1.58,-1.97,11.87,-0.11,-0.07,0.02,31.31,1257
2026-08-26T11:46:52.079+02:00,25.56,1.46,-1.59,11.54,-0.11,-0.07,0.01,31.26,1273
2026-08-26T11:46:53.079+02:00,25.56,1.61,-1.48,11.55,-0.1,-0.07,0.0,31.31,1194
2026-08-26T11:46:54.079+02:00,25.56,1.98,-1.88,12.34,-0.11,-0.07,0.0,31.31,1247
2026-08-26T11:46:55.079+02:00,25.62,1.58,-1.36,11.35,-0.12,-0.09,0.01,31.26,1213
2026-08-26T11:46:56.079+02:00,25.56,1.5,-1.44,11.33,-0.1,-0.07,0.01,31.21,1476
2026-08-26T11:46:57.078+02:00,25.62,1.61,-1.55,11.87,-0.11,-0.08,0.0,31.26,1344
2026-08-26T11:46:58.078+02:00,25.56,1.96,-1.85,12.24,-0.13,-0.09,0.0,31.21,1418
2026-08-26T11:46:59.078+02:00,25.56,1.52,-1.31,11.48,-0.11,-0.08,0.01,31.31,1356
2026-08-26T11:47:00.077+02:00,25.56,1.48,-1.55,11.89,-0.11,-0.07,0.01,31.21,1254
2026-08-26T11:47:01.076+02:00,25.56,1.61,-1.5,11.43,-0.12,-0.09,0.0,31.31,1416
2026-08-26T11:47:02.077+02:00,25.62,1.61,-1.64,11.48,-0.09,-0.07,0.0,31.31,1276
2026-08-26T11:47:03.076+02:00,25.56,1.44,-1.77,11.78,-0.11,-0.07,0.02,31.35,1102
2026-08-26T11:47:04.076+02:00,25.62,1.46,-1.67,11.62,-0.11,-0.07,0.01,31.35,1393
2026-08-26T11:47:05.075+02:00,25.62,1.58,-1.39,11.16,-0.09,-0.06,0.0,31.21,1347
2026-08-26T11:47:06.075+02:00,25.62,1.6,-2.04,11.84,-0.1,-0.07,0.02,31.35,1273
2026-08-26T11:47:07.075+02:00,25.62,1.47,-1.56,11.63,-0.12,-0.08,0.01,31.31,1151
2026-08-26T11:47:08.074+02:00,25.62,1.6,-1.42,11.43,-0.1,-0.06,0.01,31.35,1572
2026-08-26T11:47:09.076+02:00,25.62,1.98,-1.91,12.28,-0.12,-0.08,0.0,31.4,1273
2026-08-26T11:47:10.074+02:00,25.62,1.6,-1.15,11.16,-0.13,-0.09,0.0,31.35,1496
2026-08-26T11:47:12.073+02:00,25.62,1.74,-1.66,11.96,-0.11,-0.08,0.0,31.35,2452
2026-08-26T11:47:13.073+02:00,25.62,1.68,-1.28,11.08,-0.09,-0.06,0.0,31.4,991
2026-08-26T11:47:14.072+02:00,25.62,1.66,-1.77,11.96,-0.12,-0.08,0.02,31.4,1158
2026-08-26T11:47:15.072+02:00,25.62,1.42,-1.37,11.53,-0.11,-0.07,0.01,31.35,1275
2026-08-26T11:47:16.072+02:00,25.62,1.84,-1.77,12.14,-0.11,-0.08,0.0,31.4,903
2026-08-26T11:47:17.072+02:00,25.62,1.88,-1.06,11.27,-0.13,-0.1,0.01,31.35,1262
2026-08-26T11:47:18.071+02:00,25.62,1.57,-1.3,11.33,-0.1,-0.07,0.01,31.4,1373
